Date,  Average*,  MLS® HPI Aggregate Composite Benchmark†
Jan-05,"$229,463","$241,000"
Feb-05,"$238,301","$241,800"
Mar-05,"$243,894","$242,600"
Apr-05,"$247,989","$243,300"
May-05,"$250,836","$243,800"
Jun-05,"$252,336","$245,300"
Jul-05,"$250,327","$247,400"
Aug-05,"$246,048","$249,700"
Sep-05,"$253,641","$252,200"
Oct-05,"$256,131","$255,100"
Nov-05,"$256,279","$257,900"
Dec-05,"$257,165","$260,500"
Jan-06,"$256,135","$263,700"
Feb-06,"$266,752","$266,400"
Mar-06,"$272,902","$269,300"
Apr-06,"$278,950","$272,600"
May-06,"$282,822","$275,900"
Jun-06,"$283,165","$278,800"
Jul-06,"$276,578","$281,600"
Aug-06,"$274,619","$284,500"
Sep-06,"$276,403","$287,400"
Oct-06,"$282,171","$288,800"
Nov-06,"$280,882","$290,800"
Dec-06,"$279,175","$293,200"
Jan-07,"$281,983","$295,600"
Feb-07,"$294,232","$299,000"
Mar-07,"$298,884","$301,700"
Apr-07,"$305,105","$304,500"
May-07,"$312,812","$307,700"
Jun-07,"$315,210","$310,700"
Jul-07,"$311,647","$313,300"
Aug-07,"$305,557","$315,300"
Sep-07,"$307,647","$317,400"
Oct-07,"$312,389","$319,300"
Nov-07,"$313,509","$321,100"
Dec-07,"$316,921","$323,200"
Jan-08,"$310,014","$324,800"
Feb-08,"$312,973","$325,200"
Mar-08,"$314,488","$325,300"
Apr-08,"$318,381","$324,100"
May-08,"$318,681","$322,300"
Jun-08,"$314,536","$320,600"
Jul-08,"$303,503","$318,300"
Aug-08,"$292,326","$316,300"
Sep-08,"$292,548","$314,500"
Oct-08,"$282,208","$310,400"
Nov-08,"$283,509","$307,100"
Dec-08,"$284,530","$303,300"
Jan-09,"$275,713","$300,100"
Feb-09,"$284,924","$297,400"
Mar-09,"$290,406","$295,300"
Apr-09,"$307,191","$296,800"
May-09,"$320,489","$299,200"
Jun-09,"$327,054","$302,900"
Jul-09,"$327,419","$307,300"
Aug-09,"$324,587","$311,700"
Sep-09,"$331,895","$316,400"
Oct-09,"$340,904","$321,100"
Nov-09,"$337,090","$325,300"
Dec-09,"$336,772","$328,700"
Jan-10,"$329,069","$331,400"
Feb-10,"$336,532","$333,500"
Mar-10,"$341,222","$335,000"
Apr-10,"$345,101","$335,600"
May-10,"$347,571","$335,300"
Jun-10,"$342,145","$334,100"
Jul-10,"$330,480","$333,200"
Aug-10,"$325,154","$332,900"
Sep-10,"$331,029","$333,100"
Oct-10,"$343,923","$334,200"
Nov-10,"$344,270","$335,900"
Dec-10,"$345,535","$337,700"
Jan-11,"$343,991","$340,100"
Feb-11,"$365,710","$343,000"
Mar-11,"$371,417","$345,400"
Apr-11,"$371,858","$347,700"
