Date,Composite,One_storey,Two_storey,Townhouse,Apartment_unit
Jan-05,"$241,000","$208,700","$303,900","$202,500","$174,500"
Feb-05,"$241,800","$209,400","$304,300","$203,100","$175,600"
Mar-05,"$242,600","$210,100","$305,300","$203,700","$176,400"
Apr-05,"$243,300","$211,100","$305,800","$204,200","$177,200"
May-05,"$243,800","$211,500","$306,400","$204,600","$178,100"
Jun-05,"$245,300","$212,300","$308,300","$205,400","$179,400"
Jul-05,"$247,400","$214,500","$310,700","$207,400","$180,700"
Aug-05,"$249,700","$216,900","$313,400","$209,300","$181,700"
Sep-05,"$252,200","$219,300","$315,900","$211,900","$185,700"
Oct-05,"$255,100","$222,000","$319,500","$214,000","$186,800"
Nov-05,"$257,900","$224,700","$322,600","$216,700","$188,900"
Dec-05,"$260,500","$227,100","$325,700","$218,500","$191,000"
Jan-06,"$263,700","$230,000","$329,200","$222,000","$193,500"
Feb-06,"$266,400","$232,600","$332,100","$225,000","$195,800"
Mar-06,"$269,300","$235,400","$335,600","$227,600","$197,800"
Apr-06,"$272,600","$238,600","$339,300","$230,800","$200,200"
May-06,"$275,900","$241,900","$342,700","$234,500","$202,900"
Jun-06,"$278,800","$244,900","$345,700","$238,600","$205,400"
Jul-06,"$281,600","$247,600","$348,400","$241,800","$208,100"
Aug-06,"$284,500","$250,400","$351,300","$245,300","$211,000"
Sep-06,"$287,400","$253,000","$354,600","$247,800","$214,200"
Oct-06,"$288,800","$254,900","$355,400","$250,800","$215,200"
Nov-06,"$290,800","$257,300","$357,500","$252,900","$216,400"
Dec-06,"$293,200","$260,400","$359,600","$255,700","$218,100"
Jan-07,"$295,600","$262,600","$362,100","$257,700","$220,300"
Feb-07,"$299,000","$265,800","$366,400","$260,000","$222,300"
Mar-07,"$301,700","$268,500","$369,100","$263,200","$225,100"
Apr-07,"$304,500","$271,100","$372,400","$265,200","$227,400"
May-07,"$307,700","$274,600","$376,000","$267,800","$229,800"
Jun-07,"$310,700","$277,700","$379,100","$270,100","$232,200"
Jul-07,"$313,300","$280,200","$382,200","$272,100","$234,400"
Aug-07,"$315,300","$281,800","$384,600","$274,400","$236,200"
Sep-07,"$317,400","$283,900","$387,100","$275,500","$238,000"
Oct-07,"$319,300","$285,600","$389,400","$277,000","$239,600"
Nov-07,"$321,100","$287,200","$391,200","$278,800","$242,000"
Dec-07,"$323,200","$288,200","$394,200","$280,800","$243,700"
Jan-08,"$324,800","$289,800","$395,900","$282,500","$245,300"
Feb-08,"$325,200","$290,200","$396,500","$283,100","$245,600"
Mar-08,"$325,300","$290,400","$396,200","$283,600","$245,900"
Apr-08,"$324,100","$289,100","$394,700","$283,900","$245,300"
May-08,"$322,300","$287,200","$392,400","$283,100","$244,200"
Jun-08,"$320,600","$285,600","$390,300","$281,900","$242,700"
Jul-08,"$318,300","$283,200","$387,400","$280,300","$241,300"
Aug-08,"$316,300","$281,700","$384,800","$278,600","$239,600"
Sep-08,"$314,500","$279,900","$382,500","$277,100","$238,000"
