Date,  Average*,  MLS® HPI Aggregate Composite Benchmark†
2005-01-01,229463,241000
2005-02-01,238301,241800
2005-03-01,243894,242600
2005-04-01,247989,243300
2005-05-01,250836,243800
2005-06-01,252336,245300
2005-07-01,250327,247400
2005-08-01,246048,249700
2005-09-01,253641,252200
2005-10-01,256131,255100
2005-11-01,256279,257900
2005-12-01,257165,260500
2006-01-01,256135,263700
2006-02-01,266752,266400
2006-03-01,272902,269300
2006-04-01,278950,272600
2006-05-01,282822,275900
2006-06-01,283165,278800
2006-07-01,276578,281600
2006-08-01,274619,284500
2006-09-01,276403,287400
2006-10-01,282171,288800
2006-11-01,280882,290800
2006-12-01,279175,293200
2007-01-01,281983,295600
2007-02-01,294232,299000
2007-03-01,298884,301700
2007-04-01,305105,304500
2007-05-01,312812,307700
2007-06-01,315210,310700
2007-07-01,311647,313300
2007-08-01,305557,315300
2007-09-01,307647,317400
2007-10-01,312389,319300
2007-11-01,313509,321100
2007-12-01,316921,323200
2008-01-01,310014,324800
2008-02-01,312973,325200
2008-03-01,314488,325300
2008-04-01,318381,324100
2008-05-01,318681,322300
2008-06-01,314536,320600
2008-07-01,303503,318300
2008-08-01,292326,316300
2008-09-01,292548,314500
2008-10-01,282208,310400
2008-11-01,283509,307100
2008-12-01,284530,303300
2009-01-01,275713,300100
2009-02-01,284924,297400
2009-03-01,290406,295300
2009-04-01,307191,296800
2009-05-01,320489,299200
2009-06-01,327054,302900
2009-07-01,327419,307300
2009-08-01,324587,311700
2009-09-01,331895,316400
2009-10-01,340904,321100
2009-11-01,337090,325300
2009-12-01,336772,328700
2010-01-01,329069,331400
2010-02-01,336532,333500
2010-03-01,341222,335000
2010-04-01,345101,335600
2010-05-01,347571,335300
2010-06-01,342145,334100
2010-07-01,330480,333200
2010-08-01,325154,332900
2010-09-01,331029,333100
2010-10-01,343923,334200
2010-11-01,344270,335900
2010-12-01,345535,337700
2011-01-01,343991,340100
2011-02-01,365710,343000
2011-03-01,371417,345400
2011-04-01,371858,347700
2011-05-01,376724,350300
2011-06-01,371092,353100
2011-07-01,359790,355600
2011-08-01,349261,357900
2011-09-01,351613,359700
2011-10-01,361672,361400
2011-11-01,358802,363300
2011-12-01,346952,365000
2012-01-01,348385,366800
2012-02-01,372411,368100
2012-03-01,370216,369600
2012-04-01,376035,371000
2012-05-01,375013,371000
2012-06-01,369684,370600
2012-07-01,353618,370300
2012-08-01,350529,369600
2012-09-01,355370,369600
2012-10-01,361361,369400
2012-11-01,356445,369000
2012-12-01,352804,370300
2013-01-01,355548,370200
2013-02-01,368866,370900
2013-03-01,378941,371500
2013-04-01,380673,372300
2013-05-01,389028,373300
2013-06-01,387414,374500
2013-07-01,382528,376200
2013-08-01,378826,378300
2013-09-01,385251,380400
2013-10-01,392679,382800
2013-11-01,392607,385000
2013-12-01,390391,386800
2014-01-01,388121,388700
2014-02-01,406524,389900
2014-03-01,401839,390500
2014-04-01,410050,391500
2014-05-01,417312,392700
2014-06-01,413356,394500
2014-07-01,400295,396300
2014-08-01,399053,398500
2014-09-01,408615,401000
2014-10-01,419059,403900
2014-11-01,412803,407000
2014-12-01,405609,409400
2015-01-01,400450,411200
2015-02-01,431162,412500
2015-03-01,438469,414800
2015-04-01,447885,417400
2015-05-01,450108,420400
2015-06-01,451471,424700
2015-07-01,436569,429200
2015-08-01,429190,434100
2015-09-01,433081,438700
2015-10-01,453687,443300
2015-11-01,454418,448000
2015-12-01,453121,452500
2016-01-01,468067,458200
2016-02-01,500039,464700
2016-03-01,506739,471200
2016-04-01,505704,479200
2016-05-01,509081,488300
2016-06-01,501670,496700
2016-07-01,479199,504200
2016-08-01,455962,509400
2016-09-01,473836,513900
