Date,Composite,One_storey,Two_storey,Townhouse,Apartment_unit
2005-01-01,241000,208700,303900,202500,174500
2005-02-01,241800,209400,304300,203100,175600
2005-03-01,242600,210100,305300,203700,176400
2005-04-01,243300,211100,305800,204200,177200
2005-05-01,243800,211500,306400,204600,178100
2005-06-01,245300,212300,308300,205400,179400
2005-07-01,247400,214500,310700,207400,180700
2005-08-01,249700,216900,313400,209300,181700
2005-09-01,252200,219300,315900,211900,185700
2005-10-01,255100,222000,319500,214000,186800
2005-11-01,257900,224700,322600,216700,188900
2005-12-01,260500,227100,325700,218500,191000
2006-01-01,263700,230000,329200,222000,193500
2006-02-01,266400,232600,332100,225000,195800
2006-03-01,269300,235400,335600,227600,197800
2006-04-01,272600,238600,339300,230800,200200
2006-05-01,275900,241900,342700,234500,202900
2006-06-01,278800,244900,345700,238600,205400
2006-07-01,281600,247600,348400,241800,208100
2006-08-01,284500,250400,351300,245300,211000
2006-09-01,287400,253000,354600,247800,214200
2006-10-01,288800,254900,355400,250800,215200
2006-11-01,290800,257300,357500,252900,216400
2006-12-01,293200,260400,359600,255700,218100
2007-01-01,295600,262600,362100,257700,220300
2007-02-01,299000,265800,366400,260000,222300
2007-03-01,301700,268500,369100,263200,225100
2007-04-01,304500,271100,372400,265200,227400
2007-05-01,307700,274600,376000,267800,229800
2007-06-01,310700,277700,379100,270100,232200
2007-07-01,313300,280200,382200,272100,234400
2007-08-01,315300,281800,384600,274400,236200
2007-09-01,317400,283900,387100,275500,238000
2007-10-01,319300,285600,389400,277000,239600
2007-11-01,321100,287200,391200,278800,242000
2007-12-01,323200,288200,394200,280800,243700
2008-01-01,324800,289800,395900,282500,245300
2008-02-01,325200,290200,396500,283100,245600
2008-03-01,325300,290400,396200,283600,245900
2008-04-01,324100,289100,394700,283900,245300
2008-05-01,322300,287200,392400,283100,244200
2008-06-01,320600,285600,390300,281900,242700
2008-07-01,318300,283200,387400,280300,241300
2008-08-01,316300,281700,384800,278600,239600
2008-09-01,314500,279900,382500,277100,238000
2008-10-01,310400,276200,377600,274600,235000
2008-11-01,307100,272700,374300,272100,231900
2008-12-01,303300,269500,369300,266400,229400
2009-01-01,300100,266900,365800,265200,225700
2009-02-01,297400,264300,362100,263100,224400
2009-03-01,295300,261200,360500,260900,223700
2009-04-01,296800,262700,362100,260300,224800
2009-05-01,299200,264100,365800,261100,226500
2009-06-01,302900,266600,370800,262700,229800
2009-07-01,307300,269900,376600,266300,233200
2009-08-01,311700,273000,382500,269400,236400
2009-09-01,316400,276300,389000,273000,239800
2009-10-01,321100,279900,395600,276600,243500
2009-11-01,325300,283000,401000,280000,247100
